,topic_1,topics,num_articles_1,num_articles_2,resid,category,probability
0,0,art festiv film artist event music theatr perform,343,267,0.9526390216174342,arts & entertainment,68.9137151143142
1,1,login usernam subscrib news offic content contact have,104,46,0.6234647874344751,local,21.801524913726062
2,2,school student district parent learn class teacher plan,231,181,0.8625535351794438,politics,19.55317346342534
3,3,health case test hospit care outbreak death provinc,313,297,0.9154367586320088,covid-19,75.55573999467056
4,4,game team play season player leagu hockey coach,357,185,0.9344451218676193,sports,99.99808223404443
5,5,life love friend don world food good book,837,845,0.9684472779159096,arts & entertainment,32.90132155853482
6,6,parti conserv tool elect liber govern trudeau leader,225,234,0.9211896548444081,politics,76.91084482318075
7,7,kamloop donat week support local afford free media advertis,127,235,0.8761820490034293,local,27.44795096774671
8,8,lake park trail wildfir citi bc river area,587,538,0.9663744279645243,local,37.30860739990546
9,9,estat real hous price market galleri photo,170,285,0.9126087954381692,business,38.46711714037897
10,10,polic rcmp man investig offic court report black,263,340,0.945695934001117,local,49.31661260898647
11,11,invest td investor financi tax advisor bank insur,226,263,0.924750002838306,business,31.60066408562678
12,12,compani fish product seafood busi price market salmon,497,475,0.9600476968842774,business,46.90863000458611
13,13,mask wear store mandatori custom face distanc,113,175,0.8964361680341587,covid-19,69.82699809401412
14,14,vehicl car drive driver engin wheel model litr,200,227,0.9285121203192521,business,48.52437210488028
